Pathway,gene,KO,Thaumarchaeota,Nanoarchaeota,Asgardarchaeota,Iainarchaeota,Euryarchaeota,Acidobacteriota,Actinobacteriota,Armatimonadota,Bacteroidota,Binatota,Chloroflexota,Dadabacteria,Alphaproteobacteria,Gammaproteobacteria,GCA-001730085,Gemmatimonadota,Hydrogenedentota,Krumholzibacteriota,KSB1,Latescibacterota,Marinisomatota,Methylomirabilota,Myxococcota,Nitrospinota,Nitrospirota,Omnitrophota,Patescibacteria,Planctomycetota,Poribacteria,SAR324,Sumerlaeota,TA06,UBP7,UBP7_A,Zixibacteria
Calvin cycle,rbcL,K01601,0.09,0.13,1.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.02,0.04,1.00,0.09,0.00,0.00,0.07,0.00,0.00,0.00,0.60,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,PRK,K00855,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nitrogen metabolism,amt,K03320,0.82,0.00,1.00,0.00,1.00,0.26,0.50,0.25,0.67,0.60,0.82,1.00,0.81,0.67,1.00,0.41,0.80,0.00,0.36,1.00,0.52,1.00,0.60,1.00,0.67,1.00,0.04,0.34,1.00,1.00,0.00,0.00,0.00,0.00,0.08
,gcvT,K00605,0.18,0.38,0.00,0.00,1.00,1.00,1.00,0.75,0.94,1.00,0.76,1.00,0.89,0.88,1.00,1.00,0.80,1.00,0.93,1.00,0.97,1.00,1.00,0.81,1.00,1.00,0.00,0.86,1.00,0.86,1.00,1.00,1.00,1.00,0.92
,gdhA,K00261,0.68,0.38,1.00,0.00,1.00,0.84,0.71,1.00,0.61,0.80,0.74,0.14,0.05,0.18,0.50,0.77,0.20,1.00,0.79,1.00,0.86,1.00,0.80,0.94,1.00,0.00,0.25,0.66,1.00,0.71,0.00,1.00,0.00,0.00,1.00
,amoA,K10944,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,hao,K10535,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,nxrA,K00370,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,1.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,narG,K00370,0.00,0.00,0.00,0.00,1.00,0.21,0.07,0.50,0.44,0.40,0.30,0.00,0.17,0.25,1.00,0.48,0.40,0.00,0.00,1.00,0.59,0.00,0.10,0.00,0.00,0.00,0.00,0.39,0.00,0.29,0.00,0.00,0.00,0.00,0.00
,narB,K00367,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,napA,K02567,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.75,0.00,0.00,0.01,0.00,0.14,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,nirB,K00362,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.05,0.13,0.00,0.00,0.60,0.00,0.00,1.00,0.00,0.00,0.10,0.06,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,nrfA,K03385,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.28,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.14,0.00,0.10,0.13,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,nirA,K00366,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.31,0.17,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,nirK,K00368,0.64,0.00,0.00,0.00,0.00,0.05,0.21,0.00,0.28,0.40,0.15,0.71,0.56,0.52,0.50,0.73,0.00,0.00,0.07,0.00,0.00,0.00,0.30,0.63,0.50,0.00,0.00,0.03,0.00,0.57,0.00,0.00,1.00,0.00,0.00
,norB,K04561,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.11,0.00,0.01,0.00,0.02,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,nosZ,K00376,0.00,0.13,0.00,0.00,0.00,0.26,0.00,0.00,0.03,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.10,0.00,0.00,0.00,0.08,0.03,0.00,0.00,0.00,1.00,0.00,0.00,0.08
Sulfur metabolism,sat,K00958,0.73,0.00,0.00,0.00,0.00,1.00,0.43,0.00,0.14,1.00,0.59,0.29,0.47,0.57,0.00,0.59,0.20,1.00,0.71,0.00,0.76,1.00,0.90,0.38,0.17,0.00,0.00,0.69,1.00,0.57,1.00,0.00,0.00,0.00,0.00
,aprA,K00394,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.80,0.18,0.00,0.17,0.12,0.00,0.05,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.14,0.00,0.00,0.00,0.00,0.00
,dsrA,K11180,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,phsA,K08352,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,sqr,K17218,0.45,0.00,0.00,0.00,0.00,0.16,0.57,0.25,0.42,0.60,0.65,0.00,0.05,0.03,0.00,0.18,0.00,0.00,0.14,1.00,0.55,0.00,0.30,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,cysH,K00390,0.77,0.00,1.00,0.00,1.00,0.42,0.07,0.00,0.28,0.00,0.54,0.86,0.25,0.52,0.50,0.18,0.80,0.00,0.00,1.00,0.14,1.00,1.00,0.81,0.83,1.00,0.04,0.41,1.00,0.29,1.00,0.00,1.00,0.00,0.00
,sir,K00392,0.73,0.00,0.00,0.00,0.00,0.37,0.29,0.00,0.11,0.80,0.70,0.86,0.23,0.06,0.00,0.23,0.80,0.00,0.07,1.00,0.17,0.00,0.70,0.81,0.83,1.00,0.00,0.42,1.00,0.86,1.00,1.00,0.00,0.00,0.00
,cysK,K01738,0.05,0.00,1.00,0.00,1.00,0.26,0.43,0.25,0.17,0.60,0.37,1.00,0.97,0.79,1.00,0.14,0.60,1.00,0.29,1.00,0.59,1.00,1.00,0.81,1.00,1.00,0.00,0.59,1.00,0.14,1.00,0.00,0.00,0.00,0.25
Benzoate metabolism,catA,K03381,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.40,0.02,0.00,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.57,0.00,0.00,0.00,0.00,0.00
,catE,K07104,0.00,0.13,0.00,0.00,0.00,0.00,0.43,0.00,0.42,0.40,0.47,0.00,0.03,0.04,0.00,0.32,0.00,0.00,0.07,0.00,0.59,0.00,0.00,0.31,0.00,0.00,0.00,0.01,1.00,0.71,0.00,1.00,0.00,0.00,0.00
,pcaH,K00449,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.25,0.22,0.60,0.01,0.00,0.53,0.22,0.00,0.05,0.00,1.00,0.07,0.00,0.07,0.00,0.10,0.31,0.50,0.00,0.00,0.10,0.00,0.86,0.00,0.00,0.00,0.00,0.00
,ligB,K04101,0.05,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.60,0.11,0.00,0.05,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,boxB,K15512,0.00,0.00,0.00,0.00,0.00,0.63,0.64,0.00,0.00,0.80,0.08,0.00,0.36,0.13,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.01,0.00,1.00,0.00,0.00,0.00,0.00,0.17
Alkane degradation,alkM,K00496,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,ladA,K20938,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arsenate metabolism,arsM,K07755,0.05,0.00,1.00,0.00,1.00,0.79,0.64,0.50,0.81,0.80,0.83,1.00,0.45,0.30,1.00,0.95,0.60,1.00,1.00,1.00,0.59,1.00,1.00,0.69,1.00,1.00,0.04,0.70,1.00,0.86,1.00,0.00,0.00,0.00,0.17
,arsB,K03893,0.55,0.00,1.00,0.00,0.00,0.37,0.07,0.00,0.22,0.40,0.11,0.14,0.06,0.34,0.00,0.82,0.20,0.00,0.29,0.00,0.00,0.00,0.30,0.06,0.33,0.00,0.00,0.37,0.00,0.00,0.00,0.00,1.00,0.00,0.00
,arsC1,K00537,0.05,0.00,0.00,0.00,0.00,0.05,0.07,0.00,0.58,0.00,0.00,0.71,0.25,0.82,0.00,0.00,0.60,0.00,0.14,1.00,0.28,0.00,0.50,0.69,0.67,0.00,0.08,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,arsC2,K03741,0.18,0.25,1.00,0.00,0.00,0.79,0.64,0.25,0.75,0.60,0.20,0.71,0.38,0.10,0.50,0.45,0.60,1.00,0.43,1.00,0.66,1.00,0.40,0.81,0.00,0.00,0.00,0.59,0.00,0.00,1.00,0.00,0.00,0.00,0.50
,aioA,K08356,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.20,0.22,0.00,0.17,0.09,0.50,0.00,0.20,0.00,0.07,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.04,0.00,0.43,0.00,0.00,0.00,0.00,0.00
Selenate metabolism,selA,K01042,0.00,0.00,0.00,0.00,0.00,1.00,0.86,1.00,0.03,0.60,0.84,0.00,0.20,0.19,0.00,0.86,0.80,1.00,0.79,1.00,0.83,1.00,0.90,0.13,0.00,0.00,0.00,0.49,1.00,1.00,0.00,0.00,0.00,1.00,1.00
,selD,K01008,0.00,0.00,0.00,0.00,0.00,0.84,0.86,0.75,0.19,0.60,0.79,0.00,0.31,0.24,0.00,0.86,0.60,0.00,0.86,0.00,0.79,1.00,1.00,0.31,0.17,0.00,0.00,0.55,1.00,0.71,0.00,1.00,0.00,1.00,0.83
,selU,K06917,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
