Sample,SEED_function,Rate,Position,Total No. of Reads,Total reads hit SEED database,,
D1T1(0-2cmbsf),"Phages, Prophages, Transposable elements, Plasmids",1.08%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Cell Division and Cell Cycle,2.81%,Slope,1000000,125081,,
D1T1(0-2cmbsf),Metabolite damage and its repair or mitigation,9.50%,Slope,1000000,125081,,
D1T1(4-6cmbsf),Iron acquisition and metabolism,1.60%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Secondary Metabolism,1.32%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Protein Metabolism,23.07%,Slope,1000000,120514,,
D1T1(4-6cmbsf),General Stress Response and Stationary Phase Response,0.02%,Slope,1000000,120514,,
D1T1(4-6cmbsf),"Phages, Prophages, Transposable elements",0.46%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Carbohydrates,58.69%,Slope,1000000,120514,,
D1T1(4-6cmbsf),"Cofactors, Vitamins, Prosthetic Groups, Pigments",60.13%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Thiamin,1.24%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Nitrogen Metabolism,2.19%,Slope,1000000,120514,,
D1T1(4-6cmbsf),"Virulence, Disease and Defense",2.42%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Potassium metabolism,1.84%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Cell Wall and Capsule,11.35%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Phosphorus Metabolism,2.29%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Nucleosides and Nucleotides,8.77%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Transcriptional regulation,0.33%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Photosynthesis,0.17%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Motility and Chemotaxis,2.82%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Miscellaneous,13.94%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Arabinose Sensor and transport module,0.00%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Virulence,7.32%,Slope,1000000,120514,,
D1T1(4-6cmbsf),"Fatty Acids, Lipids, and Isoprenoids",18.93%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Dormancy and Sporulation,0.33%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Central metabolism,0.51%,Slope,1000000,120514,,
D1T1(4-6cmbsf),RNA Metabolism,16.24%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Predictions based on plant-prokaryote comparative analysis,1.88%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Respiration,8.99%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Nucleotide sugars,1.18%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Polyamines,0.00%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Regulation and Cell signaling,4.98%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Unclassified,19.83%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Amino Acids and Derivatives,54.23%,Slope,1000000,120514,,
D1T1(4-6cmbsf),DNA Metabolism,9.59%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Membrane Transport,5.07%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Plant cell walls and outer surfaces,0.13%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Plastidial (cyanobacterial) electron transport system,0.01%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Plant Glucosinolates,0.62%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Autotrophy,0.05%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Metabolism of Aromatic Compounds,4.91%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Sulfur Metabolism,4.78%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Mitochondrial electron transport system in plants,0.72%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Aceton metabolism,0.01%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Stress Response,8.57%,Slope,1000000,120514,,
D1T1(4-6cmbsf),"Phages, Prophages, Transposable elements, Plasmids",1.12%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Cell Division and Cell Cycle,2.76%,Slope,1000000,120514,,
D1T1(4-6cmbsf),Metabolite damage and its repair or mitigation,9.50%,Slope,1000000,120514,,
D1T2(24-26cmbsf),Iron acquisition and metabolism,2.18%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Secondary Metabolism,1.13%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Protein Metabolism,23.24%,Slope,1000000,130288,,
D1T2(24-26cmbsf),General Stress Response and Stationary Phase Response,0.03%,Slope,1000000,130288,,
D1T2(24-26cmbsf),"Phages, Prophages, Transposable elements",0.47%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Carbohydrates,58.51%,Slope,1000000,130288,,
D1T2(24-26cmbsf),"Cofactors, Vitamins, Prosthetic Groups, Pigments",57.00%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Thiamin,1.06%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Nitrogen Metabolism,2.24%,Slope,1000000,130288,,
D1T2(24-26cmbsf),"Virulence, Disease and Defense",2.60%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Potassium metabolism,2.19%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Cell Wall and Capsule,11.33%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Phosphorus Metabolism,2.54%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Nucleosides and Nucleotides,8.90%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Transcriptional regulation,0.32%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Photosynthesis,0.18%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Motility and Chemotaxis,3.23%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Miscellaneous,13.20%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Arabinose Sensor and transport module,0.01%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Virulence,7.90%,Slope,1000000,130288,,
D1T2(24-26cmbsf),"Fatty Acids, Lipids, and Isoprenoids",16.32%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Dormancy and Sporulation,0.33%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Central metabolism,0.48%,Slope,1000000,130288,,
D1T2(24-26cmbsf),RNA Metabolism,15.87%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Predictions based on plant-prokaryote comparative analysis,1.77%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Respiration,9.65%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Nucleotide sugars,1.16%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Polyamines,0.00%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Regulation and Cell signaling,4.35%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Unclassified,19.20%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Amino Acids and Derivatives,51.83%,Slope,1000000,130288,,
D1T2(24-26cmbsf),DNA Metabolism,9.41%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Membrane Transport,5.52%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Plant cell walls and outer surfaces,0.12%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Plastidial (cyanobacterial) electron transport system,0.01%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Plant Glucosinolates,0.57%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Autotrophy,0.05%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Metabolism of Aromatic Compounds,4.14%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Sulfur Metabolism,4.36%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Mitochondrial electron transport system in plants,0.80%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Aceton metabolism,0.01%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Stress Response,8.88%,Slope,1000000,130288,,
D1T2(24-26cmbsf),"Phages, Prophages, Transposable elements, Plasmids",1.06%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Cell Division and Cell Cycle,2.88%,Slope,1000000,130288,,
D1T2(24-26cmbsf),Metabolite damage and its repair or mitigation,9.03%,Slope,1000000,130288,,
D1T2(4-6cmbsf),Iron acquisition and metabolism,1.99%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Secondary Metabolism,1.25%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Protein Metabolism,22.36%,Slope,1000000,128077,,
D1T2(4-6cmbsf),General Stress Response and Stationary Phase Response,0.03%,Slope,1000000,128077,,
D1T2(4-6cmbsf),"Phages, Prophages, Transposable elements",0.41%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Carbohydrates,58.54%,Slope,1000000,128077,,
D1T2(4-6cmbsf),"Cofactors, Vitamins, Prosthetic Groups, Pigments",56.21%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Thiamin,1.06%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Nitrogen Metabolism,2.13%,Slope,1000000,128077,,
D1T2(4-6cmbsf),"Virulence, Disease and Defense",2.53%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Potassium metabolism,2.19%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Cell Wall and Capsule,11.76%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Phosphorus Metabolism,2.65%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Nucleosides and Nucleotides,8.60%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Transcriptional regulation,0.30%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Plastidial (cyanobacterial) electron transport system,0.01%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Motility and Chemotaxis,3.33%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Miscellaneous,13.28%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Arabinose Sensor and transport module,0.00%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Virulence,7.92%,Slope,1000000,128077,,
D1T2(4-6cmbsf),"Fatty Acids, Lipids, and Isoprenoids",17.25%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Dormancy and Sporulation,0.36%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Central metabolism,0.46%,Slope,1000000,128077,,
D1T2(4-6cmbsf),RNA Metabolism,15.52%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Predictions based on plant-prokaryote comparative analysis,1.81%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Respiration,9.33%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Nucleotide sugars,1.22%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Polyamines,0.01%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Regulation and Cell signaling,5.06%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Unclassified,19.38%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Amino Acids and Derivatives,51.74%,Slope,1000000,128077,,
D1T2(4-6cmbsf),DNA Metabolism,9.34%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Membrane Transport,5.43%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Plant cell walls and outer surfaces,0.15%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Photosynthesis,0.14%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Plant Glucosinolates,0.59%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Autotrophy,0.07%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Metabolism of Aromatic Compounds,4.66%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Sulfur Metabolism,4.46%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Mitochondrial electron transport system in plants,0.75%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Aceton metabolism,0.01%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Stress Response,8.74%,Slope,1000000,128077,,
D1T2(4-6cmbsf),"Phages, Prophages, Transposable elements, Plasmids",1.02%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Cell Division and Cell Cycle,2.82%,Slope,1000000,128077,,
D1T2(4-6cmbsf),Metabolite damage and its repair or mitigation,8.68%,Slope,1000000,128077,,
MC02(28-30cmbsf),Iron acquisition and metabolism,1.76%,Slope,1000000,116080,,
MC02(28-30cmbsf),Secondary Metabolism,1.55%,Slope,1000000,116080,,
MC02(28-30cmbsf),Protein Metabolism,21.60%,Slope,1000000,116080,,
MC02(28-30cmbsf),General Stress Response and Stationary Phase Response,0.01%,Slope,1000000,116080,,
MC02(28-30cmbsf),"Phages, Prophages, Transposable elements",0.47%,Slope,1000000,116080,,
MC02(28-30cmbsf),Carbohydrates,59.97%,Slope,1000000,116080,,
MC02(28-30cmbsf),"Cofactors, Vitamins, Prosthetic Groups, Pigments",56.12%,Slope,1000000,116080,,
MC02(28-30cmbsf),Thiamin,1.07%,Slope,1000000,116080,,
MC02(28-30cmbsf),Nitrogen Metabolism,2.18%,Slope,1000000,116080,,
MC02(28-30cmbsf),"Virulence, Disease and Defense",2.43%,Slope,1000000,116080,,
MC02(28-30cmbsf),Potassium metabolism,2.13%,Slope,1000000,116080,,
MC02(28-30cmbsf),Cell Wall and Capsule,11.50%,Slope,1000000,116080,,
MC02(28-30cmbsf),Phosphorus Metabolism,2.51%,Slope,1000000,116080,,
MC02(28-30cmbsf),Nucleosides and Nucleotides,8.59%,Slope,1000000,116080,,
MC02(28-30cmbsf),Transcriptional regulation,0.34%,Slope,1000000,116080,,
MC02(28-30cmbsf),Plastidial (cyanobacterial) electron transport system,0.01%,Slope,1000000,116080,,
MC02(28-30cmbsf),Motility and Chemotaxis,3.19%,Slope,1000000,116080,,
MC02(28-30cmbsf),Miscellaneous,13.61%,Slope,1000000,116080,,
MC02(28-30cmbsf),Arabinose Sensor and transport module,0.00%,Slope,1000000,116080,,
MC02(28-30cmbsf),Virulence,7.61%,Slope,1000000,116080,,
MC02(28-30cmbsf),"Fatty Acids, Lipids, and Isoprenoids",19.97%,Slope,1000000,116080,,
MC02(28-30cmbsf),Dormancy and Sporulation,0.35%,Slope,1000000,116080,,
MC02(28-30cmbsf),Central metabolism,0.47%,Slope,1000000,116080,,
MC02(28-30cmbsf),RNA Metabolism,14.77%,Slope,1000000,116080,,
MC02(28-30cmbsf),Predictions based on plant-prokaryote comparative analysis,1.74%,Slope,1000000,116080,,
MC02(28-30cmbsf),Respiration,9.27%,Slope,1000000,116080,,
MC02(28-30cmbsf),Nucleotide sugars,1.13%,Slope,1000000,116080,,
MC02(28-30cmbsf),Polyamines,0.00%,Slope,1000000,116080,,
MC02(28-30cmbsf),Regulation and Cell signaling,5.66%,Slope,1000000,116080,,
MC02(28-30cmbsf),Unclassified,19.49%,Slope,1000000,116080,,
MC02(28-30cmbsf),Amino Acids and Derivatives,53.59%,Slope,1000000,116080,,
MC02(28-30cmbsf),DNA Metabolism,9.14%,Slope,1000000,116080,,
MC02(28-30cmbsf),Membrane Transport,5.56%,Slope,1000000,116080,,
MC02(28-30cmbsf),Plant cell walls and outer surfaces,0.16%,Slope,1000000,116080,,
MC02(28-30cmbsf),Photosynthesis,0.18%,Slope,1000000,116080,,
MC02(28-30cmbsf),Plant Glucosinolates,0.56%,Slope,1000000,116080,,
MC02(28-30cmbsf),Autotrophy,0.07%,Slope,1000000,116080,,
MC02(28-30cmbsf),Metabolism of Aromatic Compounds,5.36%,Slope,1000000,116080,,
MC02(28-30cmbsf),Sulfur Metabolism,5.05%,Slope,1000000,116080,,
MC02(28-30cmbsf),Mitochondrial electron transport system in plants,0.74%,Slope,1000000,116080,,
MC02(28-30cmbsf),Aceton metabolism,0.01%,Slope,1000000,116080,,
MC02(28-30cmbsf),Stress Response,8.91%,Slope,1000000,116080,,
MC02(28-30cmbsf),"Phages, Prophages, Transposable elements, Plasmids",1.02%,Slope,1000000,116080,,
MC02(28-30cmbsf),Cell Division and Cell Cycle,2.88%,Slope,1000000,116080,,
MC02(28-30cmbsf),Metabolite damage and its repair or mitigation,9.00%,Slope,1000000,116080,,
MC02(8-10cmbsf),Iron acquisition and metabolism,1.66%,Slope,1000000,111916,,
MC02(8-10cmbsf),Secondary Metabolism,1.41%,Slope,1000000,111916,,
MC02(8-10cmbsf),Protein Metabolism,22.38%,Slope,1000000,111916,,
MC02(8-10cmbsf),General Stress Response and Stationary Phase Response,0.01%,Slope,1000000,111916,,
MC02(8-10cmbsf),"Phages, Prophages, Transposable elements",0.43%,Slope,1000000,111916,,
MC02(8-10cmbsf),Carbohydrates,59.60%,Slope,1000000,111916,,
MC02(8-10cmbsf),"Cofactors, Vitamins, Prosthetic Groups, Pigments",58.36%,Slope,1000000,111916,,
MC02(8-10cmbsf),Thiamin,1.27%,Slope,1000000,111916,,
MC02(8-10cmbsf),Nitrogen Metabolism,2.10%,Slope,1000000,111916,,
MC02(8-10cmbsf),"Virulence, Disease and Defense",2.49%,Slope,1000000,111916,,
MC02(8-10cmbsf),Potassium metabolism,1.94%,Slope,1000000,111916,,
MC02(8-10cmbsf),Cell Wall and Capsule,11.86%,Slope,1000000,111916,,
MC02(8-10cmbsf),Phosphorus Metabolism,2.47%,Slope,1000000,111916,,
MC02(8-10cmbsf),Nucleosides and Nucleotides,8.56%,Slope,1000000,111916,,
MC02(8-10cmbsf),Transcriptional regulation,0.32%,Slope,1000000,111916,,
MC02(8-10cmbsf),Plastidial (cyanobacterial) electron transport system,0.01%,Slope,1000000,111916,,
MC02(8-10cmbsf),Motility and Chemotaxis,3.12%,Slope,1000000,111916,,
MC02(8-10cmbsf),Miscellaneous,14.04%,Slope,1000000,111916,,
MC02(8-10cmbsf),Arabinose Sensor and transport module,0.00%,Slope,1000000,111916,,
MC02(8-10cmbsf),Virulence,7.59%,Slope,1000000,111916,,
MC02(8-10cmbsf),"Fatty Acids, Lipids, and Isoprenoids",19.36%,Slope,1000000,111916,,
MC02(8-10cmbsf),Dormancy and Sporulation,0.36%,Slope,1000000,111916,,
MC02(8-10cmbsf),Central metabolism,0.49%,Slope,1000000,111916,,
MC02(8-10cmbsf),RNA Metabolism,15.02%,Slope,1000000,111916,,
MC02(8-10cmbsf),Predictions based on plant-prokaryote comparative analysis,1.86%,Slope,1000000,111916,,
MC02(8-10cmbsf),Respiration,9.23%,Slope,1000000,111916,,
MC02(8-10cmbsf),Nucleotide sugars,1.11%,Slope,1000000,111916,,
MC02(8-10cmbsf),Polyamines,0.00%,Slope,1000000,111916,,
MC02(8-10cmbsf),Regulation and Cell signaling,5.65%,Slope,1000000,111916,,
MC02(8-10cmbsf),Unclassified,20.17%,Slope,1000000,111916,,
MC02(8-10cmbsf),Amino Acids and Derivatives,53.91%,Slope,1000000,111916,,
MC02(8-10cmbsf),DNA Metabolism,9.12%,Slope,1000000,111916,,
MC02(8-10cmbsf),Membrane Transport,5.21%,Slope,1000000,111916,,
MC02(8-10cmbsf),Plant cell walls and outer surfaces,0.15%,Slope,1000000,111916,,
MC02(8-10cmbsf),Photosynthesis,0.18%,Slope,1000000,111916,,
MC02(8-10cmbsf),Plant Glucosinolates,0.52%,Slope,1000000,111916,,
MC02(8-10cmbsf),Autotrophy,0.06%,Slope,1000000,111916,,
MC02(8-10cmbsf),Metabolism of Aromatic Compounds,4.97%,Slope,1000000,111916,,
MC02(8-10cmbsf),Sulfur Metabolism,4.72%,Slope,1000000,111916,,
MC02(8-10cmbsf),Mitochondrial electron transport system in plants,0.80%,Slope,1000000,111916,,
MC02(8-10cmbsf),Aceton metabolism,0.01%,Slope,1000000,111916,,
MC02(8-10cmbsf),Stress Response,8.93%,Slope,1000000,111916,,
MC02(8-10cmbsf),"Phages, Prophages, Transposable elements, Plasmids",1.07%,Slope,1000000,111916,,
MC02(8-10cmbsf),Cell Division and Cell Cycle,2.84%,Slope,1000000,111916,,
MC02(8-10cmbsf),Metabolite damage and its repair or mitigation,9.17%,Slope,1000000,111916,,
T1B5(38-40cmbsf),Iron acquisition and metabolism,1.49%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Secondary Metabolism,1.19%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Protein Metabolism,23.07%,Slope,1000000,138774,,
T1B5(38-40cmbsf),General Stress Response and Stationary Phase Response,0.01%,Slope,1000000,138774,,
T1B5(38-40cmbsf),"Phages, Prophages, Transposable elements",0.51%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Carbohydrates,62.13%,Slope,1000000,138774,,
T1B5(38-40cmbsf),"Cofactors, Vitamins, Prosthetic Groups, Pigments",60.93%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Thiamin,1.30%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Nitrogen Metabolism,2.40%,Slope,1000000,138774,,
T1B5(38-40cmbsf),"Virulence, Disease and Defense",2.53%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Potassium metabolism,1.85%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Cell Wall and Capsule,11.38%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Phosphorus Metabolism,2.32%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Nucleosides and Nucleotides,8.73%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Transcriptional regulation,0.37%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Plastidial (cyanobacterial) electron transport system,0.01%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Motility and Chemotaxis,3.07%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Miscellaneous,13.73%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Arabinose Sensor and transport module,0.00%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Virulence,7.38%,Slope,1000000,138774,,
T1B5(38-40cmbsf),"Fatty Acids, Lipids, and Isoprenoids",18.10%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Dormancy and Sporulation,0.40%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Central metabolism,0.50%,Slope,1000000,138774,,
T1B5(38-40cmbsf),RNA Metabolism,15.87%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Predictions based on plant-prokaryote comparative analysis,1.96%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Respiration,9.68%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Nucleotide sugars,1.13%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Polyamines,0.00%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Regulation and Cell signaling,4.22%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Unclassified,19.99%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Amino Acids and Derivatives,53.61%,Slope,1000000,138774,,
T1B5(38-40cmbsf),DNA Metabolism,9.70%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Membrane Transport,5.03%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Plant cell walls and outer surfaces,0.13%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Photosynthesis,0.15%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Plant Glucosinolates,0.59%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Autotrophy,0.06%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Metabolism of Aromatic Compounds,4.44%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Sulfur Metabolism,4.26%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Mitochondrial electron transport system in plants,0.83%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Aceton metabolism,0.02%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Stress Response,8.67%,Slope,1000000,138774,,
T1B5(38-40cmbsf),"Phages, Prophages, Transposable elements, Plasmids",0.99%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Cell Division and Cell Cycle,2.96%,Slope,1000000,138774,,
T1B5(38-40cmbsf),Metabolite damage and its repair or mitigation,9.37%,Slope,1000000,138774,,
T1B10(0-2cmbsf),Iron acquisition and metabolism,2.04%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Secondary Metabolism,1.31%,Slope,1000000,117403,,
T1B10(0-2cmbsf),Protein Metabolism,22.60%,Slope,1000000,117403,,
